momwire,deck,status,refusal
23d81e5,cebik-w4rnl/Basic-Intermediate-Tutorial-Models/Tutorial-2/ch-1/1-3.nec,error,"GE -1 declares the ground plane without the ground-contact current expansion, and wire 7's end stands in the plane (z = 0); this engine serves the interpolated (GE 1) contact only — write GE 1, or lift the wire clear of the plane"
23d81e5,cebik-w4rnl/Basic-Intermediate-Tutorial-Models/Tutorial-2/ch-11/11-4a-nec4.nec,error,"GE -1 declares the ground plane without the ground-contact current expansion, and wire 1's end stands in the plane (z = 0); this engine serves the interpolated (GE 1) contact only — write GE 1, or lift the wire clear of the plane"
23d81e5,cebik-w4rnl/Basic-Intermediate-Tutorial-Models/Tutorial-2/ch-3/3-2.nec,error,"GE -1 declares the ground plane without the ground-contact current expansion, and wire 7's end stands in the plane (z = 0); this engine serves the interpolated (GE 1) contact only — write GE 1, or lift the wire clear of the plane"
23d81e5,cebik-w4rnl/models/LPDAs/nec/lpma3r5-4-6el86ft75o-buriedradials.nec,error,"GE -1 declares the ground plane without the ground-contact current expansion, and wire 6's end stands in the plane (z = 0); this engine serves the interpolated (GE 1) contact only — write GE 1, or lift the wire clear of the plane"
23d81e5,cebik-w4rnl/models/Phased-Arrays/nec/1r5-bc3elendfire-burrad.nec,error,"GE -1 declares the ground plane without the ground-contact current expansion, and wire 6's end stands in the plane (z = 0); this engine serves the interpolated (GE 1) contact only — write GE 1, or lift the wire clear of the plane"
23d81e5,cebik-w4rnl/models/Phased-Arrays/nec/1r8-4el-endfire-burrad.nec,error,"GE -1 declares the ground plane without the ground-contact current expansion, and wire 6's end stands in the plane (z = 0); this engine serves the interpolated (GE 1) contact only — write GE 1, or lift the wire clear of the plane"
553d671,cebik-w4rnl/Basic-Intermediate-Tutorial-Models/Tutorial-2/ch-1/1-3.nec,error,"crossing serve with per-wire radii that differ within the below wires: the two-radius rule serves one radius per side of the interface (the node's point tests at the buried radius, antennaknobs plan U5); a spread within one side has no measured node radius"
553d671,cebik-w4rnl/Basic-Intermediate-Tutorial-Models/Tutorial-2/ch-11/11-4a-nec4.nec,error,"RP asks for the far field of a deck with a wire below the ground plane, and a buried deck's radiation pattern is not served. The pattern of a buried source is the transmitted field's FAR-ZONE asymptotics - a saddle-point evaluation of the same integral, with its own lateral-wave and critical-angle s"
553d671,cebik-w4rnl/Basic-Intermediate-Tutorial-Models/Tutorial-2/ch-3/3-2.nec,error,"crossing serve with per-wire radii that differ within the below wires: the two-radius rule serves one radius per side of the interface (the node's point tests at the buried radius, antennaknobs plan U5); a spread within one side has no measured node radius"
553d671,cebik-w4rnl/models/LPDAs/nec/lpma3r5-4-6el86ft75o-buriedradials.nec,error,"this deck's buried wires reach a below/below pair separation of R1 = 74.7229 m (4.68 in-medium wavelengths), past the 63.8636 m (4 in-medium wavelengths, lambda_m = 15.97 m) the below/below remainder is tabulated to. There is no honest clamp out there: unlike the reflected-wave remainder above the i"
553d671,cebik-w4rnl/models/Phased-Arrays/nec/1r5-bc3elendfire-burrad.nec,error,"crossing serve with per-wire radii that differ within the above wires: the two-radius rule serves one radius per side of the interface (the node's point tests at the buried radius, antennaknobs plan U5); a spread within one side has no measured node radius"
553d671,cebik-w4rnl/models/Phased-Arrays/nec/1r8-4el-endfire-burrad.nec,error,"crossing serve with per-wire radii that differ within the above wires: the two-radius rule serves one radius per side of the interface (the node's point tests at the buried radius, antennaknobs plan U5); a spread within one side has no measured node radius"
